Season,Crop,Area,Rainfall,avg_temp,PH,soil_type
Kharif     ,4,1350,2451.8,13.52,7.5,Loamy soil
Kharif     ,0,7434,2451.8,19.17,7.5,Loamy soil
Rabi       ,9,15,2451.8,16.43,7.5,Loamy soil
Whole Year ,8,230,2451.8,19.17,7.5,Loamy soil
Whole Year ,3,20,2451.8,16.43,7.5,Loamy soil
Kharif     ,4,1350,2545.7,11.6,7.5,Loamy soil
Kharif     ,0,6300,2545.7,13.52,7.5,Loamy soil
Rabi       ,9,15,2545.7,17.36,7.5,Loamy soil
Whole Year ,8,279,2545.7,13.52,7.5,Loamy soil
Whole Year ,3,82,2545.7,19.17,7.5,Loamy soil
Kharif     ,4,1470,2335.5,17.36,7.5,Loamy soil
Kharif     ,0,6375,2335.5,16.14,7.5,Loamy soil
Kharif     ,4,1600,2259.6,16.95,7.5,Loamy soil
Kharif     ,0,6000,2259.6,16.14,7.5,Loamy soil
Whole Year ,8,292,2259.6,16.95,7.5,Loamy soil
Kharif     ,4,500,3020.7,20.12,7.5,Loamy soil
Kharif     ,0,500,3020.7,11.39,7.5,Loamy soil
Whole Year ,8,25,3020.7,20.12,7.5,Loamy soil
Kharif     ,4,500,2244.4,11.39,7.5,Loamy soil
Kharif     ,0,500,2244.4,13.14,7.5,Loamy soil
Whole Year ,8,25,2244.4,20.12,7.5,Loamy soil
Kharif     ,4,500,1749.9,13.14,7.5,Loamy soil
Kharif     ,0,500,1749.9,18.88,7.5,Loamy soil
Whole Year ,8,25,1749.9,11.39,7.5,Loamy soil
Kharif     ,4,550,2855.7,18.88,7.5,Loamy soil
Kharif     ,0,400,2855.7,16.95,7.5,Loamy soil
Whole Year ,8,25,2855.7,18.88,7.5,Loamy soil
Kharif     ,4,568,2193.7,16.95,7.5,Loamy soil
Kharif     ,0,406,2193.7,16.12,7.5,Loamy soil
Whole Year ,8,26,2193.7,17.05,7.5,Loamy soil
Kharif     ,4,570,3440.3,16.12,7.5,Loamy soil
Kharif     ,0,410,3440.3,20.06,7.5,Loamy soil
Whole Year ,8,27,3440.3,16.12,7.5,Loamy soil
Whole Year ,3,98,3440.3,20.06,7.5,Loamy soil
Kharif     ,4,134,2042.9,11.29,7.5,Loamy soil
Kharif     ,0,53,2042.9,13.05,7.5,Loamy soil
Whole Year ,8,14,2042.9,20.06,7.5,Loamy soil
Kharif     ,4,134,2403.2,11.29,7.5,Loamy soil
Kharif     ,0,53,2403.2,13.05,7.5,Loamy soil
Whole Year ,8,20,2403.2,20.06,7.5,Loamy soil
Kharif     ,4,7375,2274.9,11.29,7.5,Loamy soil
Kharif     ,0,15070,2274.9,13.05,7.5,Loamy soil
Rabi       ,5,130,2274.9,11.29,7.5,Loamy soil
Rabi       ,3,15,2274.9,19.13,7.5,Loamy soil
Rabi       ,9,250,2274.9,17.05,7.5,Loamy soil
Kharif     ,4,7784,3616.7,20.06,7.5,Loamy soil
Kharif     ,0,13015,3616.7,11.29,7.5,Loamy soil
Rabi       ,5,60,3616.7,20.16,7.5,Loamy soil
Rabi       ,9,198,3616.7,13.93,7.5,Loamy soil
Whole Year ,8,607,3616.7,20.16,7.5,Loamy soil
Whole Year ,3,15,3616.7,12.13,7.5,Loamy soil
Kharif     ,4,8925,2316.6,18.94,7.5,Loamy soil
Kharif     ,0,14000,2316.6,17.51,7.5,Loamy soil
Rabi       ,9,265,2316.6,20.16,7.5,Loamy soil
Whole Year ,8,615,2316.6,17.51,7.5,Loamy soil
Whole Year ,3,15,2316.6,20.16,7.5,Loamy soil
Kharif     ,4,8680,2596.8,13.93,7.5,Loamy soil
Kharif     ,0,13980,2596.8,18.94,7.5,Loamy soil
Rabi       ,9,302,2596.8,16.48,7.5,Loamy soil
Whole Year ,8,650,2596.8,18.94,7.5,Loamy soil
Whole Year ,3,16,2596.8,16.48,7.5,Loamy soil
Kharif     ,4,5800,2036,12.13,7.5,Loamy soil
Kharif     ,0,10900,2036,13.93,7.5,Loamy soil
Rabi       ,9,170,2036,17.51,7.5,Loamy soil
Whole Year ,8,620,2036,13.93,7.5,Loamy soil
Whole Year ,3,16,2036,17.51,7.5,Loamy soil
Kharif     ,4,9041,2389.2,20.62,7.5,Loamy soil
Kharif     ,0,14158,2389.2,12.46,7.5,Loamy soil
Rabi       ,9,340,2389.2,18.9,7.5,Loamy soil
Whole Year ,8,630,2389.2,12.46,7.5,Loamy soil
Whole Year ,3,16,2389.2,18.9,7.5,Loamy soil
Kharif     ,4,9058,2451.8,16.28,7.5,Loamy soil
Kharif     ,0,14257,2451.8,20.62,7.5,Loamy soil
Rabi       ,9,340,2451.8,13.61,7.5,Loamy soil
Whole Year ,8,580,2451.8,20.62,7.5,Loamy soil
Whole Year ,3,15,2451.8,13.61,7.5,Loamy soil
Kharif     ,4,4657,2545.7,18.05,7.5,Loamy soil
Kharif     ,0,8227,2545.7,16.28,7.5,Loamy soil
Rabi       ,9,355,2545.7,12.46,7.5,Loamy soil
Whole Year ,8,125,2545.7,16.28,7.5,Loamy soil
Whole Year ,3,10,2545.7,20.62,7.5,Loamy soil
Kharif     ,4,7440,2335.5,13.61,7.5,Loamy soil
Kharif     ,0,8500,2335.5,18.9,7.5,Loamy soil
Rabi       ,9,392,2335.5,16.28,7.5,Loamy soil
Whole Year ,8,795,2335.5,18.9,7.5,Loamy soil
Whole Year ,3,16,2335.5,18.05,7.5,Loamy soil
Kharif     ,4,8023,2259.6,19.75,7.5,Loamy soil
Kharif     ,0,10500,2259.6,12.1,7.5,Loamy soil
Rabi       ,9,420,2259.6,19.28,7.5,Loamy soil
Whole Year ,8,625,2259.6,12.1,7.5,Loamy soil
Whole Year ,3,20,2259.6,14.2,7.5,Loamy soil
Kharif     ,4,8325,3020.7,17.55,7.5,Loamy soil
Kharif     ,0,10300,3020.7,16.77,7.5,Loamy soil
Rabi       ,9,415,3020.7,12.1,7.5,Loamy soil
Whole Year ,8,620,3020.7,16.77,7.5,Loamy soil
Whole Year ,3,20,3020.7,19.75,7.5,Loamy soil
Kharif     ,4,8585,2244.4,14.2,7.5,Loamy soil
Kharif     ,0,10412,2244.4,19.28,7.5,Loamy soil
Rabi       ,9,423,2244.4,16.77,7.5,Loamy soil
Whole Year ,8,682,2244.4,19.28,7.5,Loamy soil
Whole Year ,3,21,2244.4,17.55,7.5,Loamy soil
Kharif     ,4,8596,1749.9,19.75,7.5,Loamy soil
Kharif     ,0,11770,1749.9,12.1,7.5,Loamy soil
Rabi       ,9,400,1749.9,19.28,7.5,Loamy soil
Whole Year ,8,705,1749.9,12.1,7.5,Loamy soil
Whole Year ,3,30,1749.9,14.2,7.5,Loamy soil
Kharif     ,4,9960,2855.7,17.55,7.5,Loamy soil
Kharif     ,0,11654,2855.7,17.08,7.5,Loamy soil
Rabi       ,9,475,2855.7,12.09,7.5,Loamy soil
Whole Year ,8,732,2855.7,17.08,7.5,Loamy soil
Whole Year ,3,31,2855.7,19.89,7.5,Loamy soil
Kharif     ,4,10278,2193.7,14.32,7.5,Loamy soil
Kharif     ,0,11839,2193.7,19.07,7.5,Loamy soil
Rabi       ,9,475,2193.7,17.08,7.5,Loamy soil
Whole Year ,8,778,2193.7,19.07,7.5,Loamy soil
Whole Year ,3,31,2193.7,17.57,7.5,Loamy soil
Kharif     ,4,10340,3440.3,19.89,7.5,Loamy soil
Kharif     ,0,12239,3440.3,12.09,7.5,Loamy soil
Rabi       ,9,460,3440.3,19.07,7.5,Loamy soil
Whole Year ,8,860,3440.3,12.09,7.5,Loamy soil
Kharif     ,4,10325,2042.9,19.07,7.5,Loamy soil
Kharif     ,0,12150,2042.9,17.57,7.5,Loamy soil
Rabi       ,9,465,2042.9,19.89,7.5,Loamy soil
Whole Year ,8,863,2042.9,17.57,7.5,Loamy soil
Whole Year ,3,27,2042.9,17.08,7.5,Loamy soil
Kharif     ,4,10390,2403.2,12.09,7.5,Loamy soil
Kharif     ,0,11450,2403.2,14.32,7.5,Loamy soil
Rabi       ,9,558,2403.2,17.57,7.5,Loamy soil
Whole Year ,8,872,2403.2,14.18,7.5,Loamy soil
Whole Year ,3,52,2403.2,18.39,7.5,Loamy soil
Kharif     ,4,1530,2042.9,16.63,7.5,Loamy soil
Kharif     ,0,2890,2042.9,20.21,7.5,Loamy soil
Whole Year ,8,32,2042.9,16.63,7.5,Loamy soil
Kharif     ,4,1595,2403.2,20.21,7.5,Loamy soil
Kharif     ,0,2890,2403.2,12.29,7.5,Loamy soil
Kharif     ,4,5400,2389.2,20.21,7.5,Loamy soil
Kharif     ,0,9580,2389.2,12.29,7.5,Loamy soil
Rabi       ,9,170,2389.2,18.39,7.5,Loamy soil
Whole Year ,8,76,2389.2,12.29,7.5,Loamy soil
Whole Year ,3,92,2389.2,14.18,7.5,Loamy soil
Kharif     ,4,5450,2451.8,17.85,7.5,Loamy soil
Kharif     ,0,9650,2451.8,16.63,7.5,Loamy soil
Rabi       ,9,175,2451.8,12.29,7.5,Loamy soil
Whole Year ,8,100,2451.8,16.63,7.5,Loamy soil
Whole Year ,3,95,2451.8,12.29,7.5,Loamy soil
Kharif     ,4,5500,2545.7,18.39,7.5,Loamy soil
Kharif     ,0,9655,2545.7,17.85,7.5,Loamy soil
Rabi       ,9,180,2545.7,20.38,7.5,Loamy soil
Rabi       ,4,277,907.8,18.2,6.6,Loamy soil
Rabi       ,9,11266,907.8,18.49,6.6,Loamy soil
Summer     ,4,113,907.8,26.63,6.6,Loamy soil
Whole Year ,7,107,907.8,18.2,6.6,Loamy soil
Whole Year ,8,964,907.8,28.76,6.6,Loamy soil
Whole Year ,3,65,907.8,27.54,6.6,Loamy soil
Winter     ,0,26814,907.8,24.78,6.6,Loamy soil
Autumn     ,4,459,1600.2,26.08,6.6,Loamy soil
Autumn     ,0,10,1600.2,22.35,6.6,Loamy soil
Kharif     ,5,2,1600.2,18.2,6.6,Loamy soil
Rabi       ,4,216,1600.2,18.2,6.6,Loamy soil
Rabi       ,9,11120,1600.2,18.49,6.6,Loamy soil
Summer     ,4,178,1600.2,26.63,6.6,Loamy soil
Summer     ,0,19,1600.2,26.08,6.6,Loamy soil
Whole Year ,7,120,1600.2,17.66,6.6,Loamy soil
Whole Year ,8,1326,1600.2,17.66,6.6,Loamy soil
Whole Year ,3,99,1600.2,27.64,6.6,Loamy soil
Winter     ,0,33445,1600.2,26.66,6.6,Loamy soil
Autumn     ,4,450,1197.7,18.39,6.6,Loamy soil
Autumn     ,0,10,1197.7,25.88,6.6,Loamy soil
Kharif     ,5,2,1197.7,21.59,6.6,Loamy soil
Kharif     ,8,814,1197.7,27.64,6.6,Loamy soil
Rabi       ,4,199,1197.7,17.66,6.6,Loamy soil
Rabi       ,8,405,1197.7,18.39,6.6,Loamy soil
Rabi       ,9,11172,1197.7,25.32,6.6,Loamy soil
Summer     ,4,149,1197.7,21.59,6.6,Loamy soil
Whole Year ,7,106,1197.7,27.64,6.6,Loamy soil
Whole Year ,3,11,1197.7,20.04,6.6,Loamy soil
Winter     ,0,35594,1197.7,26.66,6.6,Loamy soil
Autumn     ,4,278,889.3,18.39,6.6,Loamy soil
Rabi       ,4,291,889.3,25.88,6.6,Loamy soil
Rabi       ,9,9417,889.3,17.66,6.6,Loamy soil
Summer     ,4,174,889.3,17.66,6.6,Loamy soil
Whole Year ,3,27,889.3,20.04,6.6,Loamy soil
Winter     ,0,25148,889.3,26.66,6.6,Loamy soil
Autumn     ,4,325,629.2,18.39,6.6,Loamy soil
Rabi       ,4,282,629.2,18.39,6.6,Loamy soil
Rabi       ,9,11051,629.2,20.04,6.6,Loamy soil
Summer     ,4,168,629.2,17.66,6.6,Loamy soil
Whole Year ,3,32,629.2,27.64,6.6,Loamy soil
Winter     ,0,25797,629.2,20.04,6.6,Loamy soil
Autumn     ,4,351,1097.1,26.66,6.6,Loamy soil
Autumn     ,0,6,1097.1,18.39,6.6,Loamy soil
Kharif     ,5,1,1097.1,25.32,6.6,Loamy soil
Rabi       ,4,205,1097.1,20.32,6.6,Loamy soil
Rabi       ,9,10698,1097.1,26.82,6.6,Loamy soil
Summer     ,4,201,1097.1,18.65,6.6,Loamy soil
Winter     ,0,26272,1097.1,24.36,6.6,Loamy soil
Autumn     ,4,351,1032.4,25.35,6.6,Loamy soil
Autumn     ,0,6,1032.4,21.69,6.6,Loamy soil
Kharif     ,5,1,1032.4,18.01,6.6,Loamy soil
Rabi       ,4,205,1032.4,27.5,6.6,Loamy soil
Rabi       ,9,10698,1032.4,25.71,6.6,Loamy soil
Summer     ,4,201,1032.4,24.36,6.6,Loamy soil
Whole Year ,3,75,1032.4,21.69,6.6,Loamy soil
Winter     ,0,26272,1032.4,20.32,6.6,Loamy soil
Autumn     ,4,327,1069.9,18.01,6.6,Loamy soil
Rabi       ,4,269,1069.9,18.01,6.6,Loamy soil
Rabi       ,9,10910,1069.9,18.65,6.6,Loamy soil
Summer     ,4,211,1069.9,25.71,6.6,Loamy soil
Whole Year ,3,38,1069.9,25.35,6.6,Loamy soil
Winter     ,0,26580,1069.9,21.69,6.6,Loamy soil
Autumn     ,4,227,1061,20.32,6.6,Loamy soil
Rabi       ,4,277,1061,18.01,6.6,Loamy soil
Rabi       ,9,10776,1061,26.82,6.6,Loamy soil
Summer     ,4,137,1061,18.65,6.6,Loamy soil
Whole Year ,3,28,1061,24.36,6.6,Loamy soil
Winter     ,0,26045,1061,25.35,6.6,Loamy soil
Kharif     ,5,1,1303.7,18.01,6.6,Loamy soil
Kharif     ,4,222,1303.7,18.01,6.6,Loamy soil
Rabi       ,4,6,1303.7,24.36,6.6,Loamy soil
Rabi       ,9,35874,1303.7,18.01,6.6,Loamy soil
Summer     ,4,25,1303.7,18.01,6.6,Loamy soil
Summer     ,0,10,1303.7,27.5,6.6,Loamy soil
Whole Year ,7,256,1303.7,18.65,6.6,Loamy soil
Whole Year ,8,1554,1303.7,25.71,6.6,Loamy soil
Whole Year ,3,393,1303.7,25.35,6.6,Loamy soil
Winter     ,0,185191,1303.7,18.67,6.6,Loamy soil
Kharif     ,4,530,1332.5,20.96,6.6,Loamy soil
Rabi       ,4,11,1332.5,18.67,6.6,Loamy soil
Rabi       ,9,52265,1332.5,20.96,6.6,Loamy soil
Summer     ,4,24,1332.5,27.08,6.6,Loamy soil
Summer     ,0,6,1332.5,19.73,6.6,Loamy soil
Whole Year ,7,204,1332.5,20.96,6.6,Loamy soil
Whole Year ,8,1098,1332.5,18.67,6.6,Loamy soil
Whole Year ,3,556,1332.5,27.69,6.6,Loamy soil
Winter     ,0,147064,1332.5,19.73,6.6,Loamy soil
Kharif     ,5,1,1402.7,24.99,6.6,Loamy soil
Kharif     ,6,2062,1402.7,22.14,6.6,Loamy soil
Kharif     ,4,364,1402.7,20.96,6.6,Loamy soil
Rabi       ,4,1,1402.7,25.59,6.6,Loamy soil
Rabi       ,9,44423,1402.7,18.67,6.6,Loamy soil
Summer     ,4,13,1402.7,27.69,6.6,Loamy soil
Whole Year ,7,266,1402.7,19.73,6.6,Loamy soil
Whole Year ,8,1225,1402.7,26.08,6.6,Loamy soil
Whole Year ,3,487,1402.7,24.99,6.6,Loamy soil
Autumn     ,0,131312,1207,22.14,6.6,Loamy soil
Kharif     ,5,1,1207,18.67,6.6,Loamy soil
Kharif     ,4,522,1207,27.69,6.6,Loamy soil
Kharif     ,0,4,1207,24.99,6.6,Loamy soil
Rabi       ,4,3,1207,27.08,6.6,Loamy soil
Rabi       ,9,55516,1207,22.14,6.6,Loamy soil
Summer     ,4,4,1207,20.96,6.6,Loamy soil
Whole Year ,7,366,1207,20.96,6.6,Loamy soil
Whole Year ,8,1212,1207,27.08,6.6,Loamy soil
Whole Year ,3,522,1207,19.73,6.6,Loamy soil
Autumn     ,4,384,1247,24.99,6.6,Loamy soil
Autumn     ,0,163366,1247,25.59,6.6,Loamy soil
Rabi       ,4,3,1247,19.09,6.6,Loamy soil
Rabi       ,9,55528,1247,26.01,6.6,Loamy soil
Summer     ,4,4,1247,25.18,6.6,Loamy soil
Summer     ,0,743,1247,25.56,6.6,Loamy soil
Whole Year ,7,279,1247,19.09,6.6,Loamy soil
Whole Year ,8,1729,1247,27.85,6.6,Loamy soil
Whole Year ,3,478,1247,21.3,6.6,Loamy soil
Autumn     ,4,505,1105.8,26.01,6.6,Loamy soil
Rabi       ,4,35,1105.8,21.3,6.6,Loamy soil
Rabi       ,9,57409,1105.8,21.3,6.6,Loamy soil
Summer     ,4,3,1105.8,27.27,6.6,Loamy soil
Whole Year ,7,226,1105.8,21.3,6.6,Loamy soil
Whole Year ,8,1554,1105.8,19.09,6.6,Loamy soil
Whole Year ,3,413,1105.8,19.09,6.6,Loamy soil
Winter     ,0,176397,1105.8,21.3,6.6,Loamy soil
Kharif     ,4,418,1353.9,26.01,6.6,Loamy soil
Rabi       ,4,20,1353.9,25.18,6.6,Loamy soil
Rabi       ,9,53655,1353.9,19.09,6.6,Loamy soil
Summer     ,4,20,1353.9,19.09,6.6,Loamy soil
Whole Year ,7,434,1353.9,19.49,6.6,Loamy soil
Whole Year ,8,955,1353.9,26.01,6.6,Loamy soil
Whole Year ,3,230,1353.9,25.18,6.6,Loamy soil
Winter     ,0,173050,1353.9,22.5,6.6,Loamy soil
Kharif     ,5,10,1147.8,19.09,6.6,Loamy soil
Kharif     ,4,431,1147.8,19.09,6.6,Loamy soil
Rabi       ,4,7,1147.8,19.09,6.6,Loamy soil
Rabi       ,9,52479,1147.8,26.01,6.6,Loamy soil
Summer     ,4,12,1147.8,25.18,6.6,Loamy soil
Whole Year ,7,246,1147.8,20.05,6.6,Loamy soil
Whole Year ,8,1163,1147.8,17.88,6.6,Loamy soil
Whole Year ,3,231,1147.8,17.88,6.6,Loamy soil
Winter     ,0,105259,1147.8,20.05,6.6,Loamy soil
Kharif     ,10,4,907.8,18.75,6.6,Loamy soil
Kharif     ,4,787,907.8,24.24,6.6,Loamy soil
Rabi       ,4,10,907.8,24.24,6.6,Loamy soil
Kharif     ,0,102,2763.2,16.37,7.5,Sandy soil
Whole Year ,1,176,2763.2,16.37,7.5,Sandy soil
Whole Year ,2,18168,2763.2,16.37,7.5,Clayey soil
Whole Year ,3,1,2763.2,15.36,7.5,Loamy soil
Kharif     ,0,83,3080.9,16.06,7.5,Sandy soil
Whole Year ,2,18190,3080.9,16.06,7.5,Sandy soil
Whole Year ,3,1,3080.9,16.06,7.5,Sandy soil
Kharif     ,0,189.2,2620.2,16.05,7.5,Sandy soil
Whole Year ,1,213,2620.2,16.05,7.5,Sandy soil
Whole Year ,2,18240,2620.2,16.96,7.5,Sandy soil
Whole Year ,3,5,2620.2,16.96,6.5,Sandy soil
Kharif     ,0,52,2355.9,15.67,6.5,Sandy soil
Whole Year ,1,266,2355.9,15.67,6.5,Sandy soil
Whole Year ,2,18284.74,2355.9,15.64,6.5,Sandy soil
Kharif     ,0,52.94,2460.1,15.9,6.5,Sandy soil
Whole Year ,1,66.42,2460.1,15.9,6.5,Sandy soil
Whole Year ,2,18394.7,2460.1,16.27,6.5,Sandy soil
Kharif     ,0,2.09,2954.7,16.57,6.5,Sandy soil
Whole Year ,1,22,2954.7,16.57,6.5,Sandy soil
Whole Year ,2,13876.57,2954.7,16.67,6.5,Sandy soil
Whole Year ,1,198,2404.7,16.59,6.5,Sandy soil
Whole Year ,2,14358,2404.7,16.47,6.5,Sandy soil
Whole Year ,3,0.2,2404.7,16.47,6.5,Sandy soil
Autumn     ,0,3.5,3157.1,16.16,5.5,Sandy soil
Autumn     ,3,13.4,3157.1,15.67,5.5,Loamy soil
Rabi       ,4,3.84,3157.1,15.92,5.5,Loamy soil
Whole Year ,1,593,3157.1,16.67,5.5,Loamy soil
Whole Year ,2,14560,3157.1,16.71,5.5,Loamy soil
Kharif     ,0,10779,2763.2,16.73,5.5,Loamy soil
Whole Year ,1,1531,2763.2,16.73,5.5,Loamy soil
Whole Year ,2,6992,2763.2,16.73,5.5,Loamy soil
Whole Year ,3,141,2763.2,16.52,5.5,Loamy soil
Kharif     ,0,9718,3080.9,16.45,5.5,Loamy soil
Whole Year ,2,7015,3080.9,16.7,5.5,Loamy soil
Whole Year ,3,81,3080.9,16.7,5.5,Loamy soil
Kharif     ,0,6854.3,2404.7,17.41,5.5,Loamy soil
Whole Year ,1,957.57,2404.7,17.41,5.5,Loamy soil
Whole Year ,2,3575,2404.7,17.48,5.5,Loamy soil
Whole Year ,3,71.3,2404.7,16.26,5.5,Loamy soil
Autumn     ,0,6791,3157.1,16.27,5.5,Loamy soil
Autumn     ,3,73.33,3157.1,16.27,5.5,Loamy soil
Rabi       ,5,4.75,3157.1,17,5.5,Loamy soil
Rabi       ,4,86.7,3157.1,17,5.5,Loamy soil
Whole Year ,1,657,3157.1,17.36,5.5,Loamy soil
Whole Year ,2,3668,3157.1,17.36,5.5,Loamy soil
Kharif     ,0,10695.8,2620.2,17.36,5.5,Loamy soil
Whole Year ,1,1524,2620.2,16.76,5.5,Loamy soil
Whole Year ,2,7060,2620.2,16.76,5.5,Loamy soil
Whole Year ,3,455,2620.2,17.84,5.5,Loamy soil
Kharif     ,0,10509.37,2355.9,17.84,5.5,Loamy soil
Whole Year ,1,1530,2355.9,17.14,5.5,Loamy soil
Whole Year ,2,7110,2355.9,17.14,5.5,Loamy soil
Whole Year ,3,268,2355.9,17.97,5.5,Loamy soil
Kharif     ,0,10681.98,2460.1,17.97,5.5,Loamy soil
Whole Year ,1,1912.1,2460.1,17.9,5.5,Loamy soil
Whole Year ,2,7156.7,2460.1,17.9,5.5,Loamy soil
Whole Year ,3,145.26,2460.1,18.13,5.5,Loamy soil
Kharif     ,0,8683.38,2954.7,18.13,5.5,Loamy soil
Whole Year ,1,1656.8,2954.7,17.85,5.5,Loamy soil
Whole Year ,2,7050.45,2954.7,17.85,5.5,Loamy soil
Whole Year ,3,128.02,2954.7,17.38,5.5,Loamy soil
Kharif     ,0,921.87,2404.7,17.19,5.5,Loamy soil
Whole Year ,1,483,2404.7,17.19,5.5,Loamy soil
Whole Year ,2,3483.09,2404.7,18.13,5.5,Loamy soil
Whole Year ,3,53.5,2404.7,17.42,5.5,Loamy soil
Autumn     ,0,1595.5,3157.1,17.55,5.5,Loamy soil
Autumn     ,3,67.5,3157.1,17.55,5.5,Loamy soil
Rabi       ,5,15.5,3157.1,17.78,5.5,Loamy soil
Rabi       ,4,73,3157.1,17.78,5.5,Loamy soil
Whole Year ,1,360,3157.1,17.79,5.5,Loamy soil
Whole Year ,2,3540,3157.1,17.79,5.5,Loamy soil
Kharif     ,4,2453,2545.7,17.79,5.5,Loamy soil
Kharif     ,0,3342,2545.7,17.79,5.5,Loamy soil
Rabi       ,9,30,2545.7,17.91,5.5,Loamy soil
Whole Year ,8,86,2545.7,17.91,5.5,Loamy soil
Whole Year ,3,5,2545.7,17.65,5.5,Loamy soil
Kharif     ,4,3000,2335.5,17.65,5.5,Loamy soil
Kharif     ,0,3400,2335.5,17.65,5.5,Loamy soil
Rabi       ,9,32,2335.5,24.12,5.5,Loamy soil
Whole Year ,8,90,2335.5,24.12,5.5,Loamy soil
Whole Year ,3,7,2335.5,24.12,5.5,Loamy soil
Kharif     ,4,3234,2259.6,24.02,5.5,Loamy soil
Kharif     ,0,4060,2259.6,24.02,5.5,Loamy soil
Rabi       ,9,34,2259.6,24.02,5.5,Loamy soil
Whole Year ,8,102,2259.6,23.96,5.5,Loamy soil
Whole Year ,3,7,2259.6,23.96,5.5,Loamy soil
Kharif     ,4,3360,3020.7,23.96,5.5,Loamy soil
Kharif     ,0,4085,3020.7,23.96,5.5,Loamy soil
Rabi       ,9,30,3020.7,24.15,5.5,Loamy soil
Whole Year ,8,104,3020.7,24.15,5.5,Loamy soil
Whole Year ,3,6,3020.7,24.04,5.5,Loamy soil
Kharif     ,4,3461,2244.4,24.04,5.5,Loamy soil
Kharif     ,0,3901,2244.4,24.04,5.5,Loamy soil
Rabi       ,9,30,2244.4,24.04,5.5,Loamy soil
Whole Year ,8,115,2244.4,24.56,5.5,Loamy soil
Whole Year ,3,7,2244.4,24.56,5.5,Loamy soil
Kharif     ,4,3490,1749.9,24.11,5.5,Loamy soil
Kharif     ,0,3945,1749.9,24.11,5.5,Loamy soil
Rabi       ,9,25,1749.9,24.11,5.5,Loamy soil
Whole Year ,8,120,1749.9,24.06,5.5,Loamy soil
Whole Year ,3,6,1749.9,24.06,5.5,Loamy soil
Kharif     ,4,3450,2855.7,24.06,5.5,Loamy soil
Kharif     ,0,3949,2855.7,24.06,5.5,Loamy soil
Rabi       ,9,10,2855.7,24.96,5.5,Loamy soil
Whole Year ,8,110,2855.7,24.96,5.5,Loamy soil
Kharif     ,4,3560,2193.7,24.37,5.5,Loamy soil
Kharif     ,0,3489,2193.7,24.37,5.5,Loamy soil
Rabi       ,9,10,2193.7,24.37,5.5,Loamy soil
Whole Year ,8,117,2193.7,24.41,5.5,Loamy soil
Kharif     ,4,3995,3440.3,24.41,5.5,Loamy soil
Kharif     ,0,3561,3440.3,24.41,5.5,Loamy soil
Rabi       ,9,13,3440.3,24.41,5.5,Loamy soil
Whole Year ,8,120,3440.3,24.43,5.5,Loamy soil
Kharif     ,4,3595,2042.9,24.43,5.5,Loamy soil
Kharif     ,0,3561,2042.9,24.43,5.5,Loamy soil
Rabi       ,9,13,2042.9,24.79,5.5,Loamy soil
Whole Year ,8,120,2042.9,24.79,5.5,Loamy soil
Kharif     ,4,1290,2403.2,24.79,5.5,Loamy soil
Kharif     ,0,3561,2403.2,24.79,5.5,Loamy soil
Whole Year ,8,33,2403.2,24.22,5.5,Loamy soil
Kharif     ,4,1520,2274.9,24.22,5.5,Loamy soil
Kharif     ,0,11500,2274.9,24.22,5.5,Loamy soil
Rabi       ,5,285,2274.9,24.41,5.5,Loamy soil
Rabi       ,3,230,2274.9,24.41,5.5,Loamy soil
Rabi       ,9,240,2274.9,24.41,5.5,Loamy soil
Kharif     ,4,1575,3616.7,24.14,5.5,Loamy soil
Kharif     ,0,11550,3616.7,24.14,5.5,Loamy soil
Rabi       ,5,120,3616.7,24.14,5.5,Loamy soil
Rabi       ,9,225,3616.7,24.24,5.5,Loamy soil
Whole Year ,8,350,3616.7,24.24,5.5,Loamy soil
Whole Year ,3,240,3616.7,24.24,5.5,Loamy soil
Kharif     ,4,1620,2316.6,24.27,5.5,Loamy soil
Kharif     ,0,11600,2316.6,24.27,5.5,Loamy soil
Rabi       ,9,225,2316.6,24.27,5.5,Loamy soil
Whole Year ,8,350,2316.6,24.27,5.5,Loamy soil
Whole Year ,3,255,2316.6,24.33,5.5,Loamy soil
Kharif     ,4,864,2596.8,24.33,5.5,Loamy soil
Kharif     ,0,11925,2596.8,24.33,5.5,Loamy soil
Rabi       ,9,225,2596.8,24.33,5.5,Loamy soil
Whole Year ,8,755,2596.8,24.44,5.5,Loamy soil
Whole Year ,3,215,2596.8,24.44,5.5,Loamy soil
Kharif     ,4,985,2036,24.44,5.5,Loamy soil
Kharif     ,0,11857,2036,24.44,5.5,Loamy soil
Rabi       ,9,200,2036,24.15,5.5,Loamy soil
Whole Year ,8,25,2036,24.15,5.5,Loamy soil
Whole Year ,3,220,2036,24.15,5.5,Loamy soil
Kharif     ,4,915,2389.2,24.24,5.5,Loamy soil
Kharif     ,0,11860,2389.2,24.24,5.5,Loamy soil
Rabi       ,9,200,2389.2,24.24,5.5,Loamy soil
Whole Year ,8,50,2389.2,24.55,5.5,Loamy soil
Whole Year ,3,170,2389.2,24.55,5.5,Loamy soil
Kharif     ,4,918,2451.8,24.55,5.5,Loamy soil
Kharif     ,0,11867,2451.8,24.55,5.5,Loamy soil
Rabi       ,9,205,2451.8,24.55,5.5,Loamy soil
Whole Year ,8,48,2451.8,17.67,5.5,Loamy soil
Whole Year ,3,145,2451.8,17.67,5.5,Loamy soil
